Age,Marital_Status,Dependents,Employment_Status,Residential_Status,Credit_Score,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Bank_Account_History,Debt_to_Income_Ratio,Expense_to_Income_Ratio,Average_Length
27,0.0,0,1,0,842,28057,7520,0,1,0.06754450572152262,0.5311584960569098,0.5
26,1.0,1,0,1,712,14504,13508,0,6,0.1360733353480407,0.4693865216077365,0.0
59,0.0,0,0,2,391,27323,20923,0,7,0.4909197559831065,1.3202252463632098,7.0
29,0.0,3,0,2,510,47837,19322,0,1,0.484467066168543,0.8809768573076248,1.0
53,0.0,0,1,0,482,42842,16363,0,9,0.24774781594924827,0.15425378896846184,0.0
39,1.0,0,0,0,825,30144,21141,1,7,0.15098126035536766,0.2996057818659658,7.0
38,0.0,1,2,0,760,44072,14797,0,9,0.26220009214303436,1.0023744551157103,9.0
37,0.0,3,1,0,752,39101,26645,0,8,0.3015675400373493,0.42877030162412993,0.0
41,0.0,0,1,0,726,49996,8323,0,2,0.06028669317745569,0.3884482496360199,2.0
46,0.0,1,0,0,815,20168,22824,0,0,0.4453550313176842,0.44277937130480594,0.0
47,1.0,2,1,0,843,34107,5958,0,0,0.08824052132701422,0.7149881516587677,0.0
29,0.0,1,1,0,723,47607,19881,0,3,0.16206896551724137,0.38620689655172413,0.0
59,0.0,1,1,0,418,40511,27294,0,6,0.4051538587142072,0.3233036946873098,6.0
34,0.0,1,1,1,812,20736,28911,1,6,0.215703829711037,0.27575710096917877,0.0
41,0.0,3,1,1,741,38210,17280,0,7,0.14787936877417587,0.4060521000924246,7.0
43,0.0,1,1,0,828,20248,5386,0,1,0.04404717120005234,0.44750486596117045,0.0
46,0.0,3,1,0,794,32961,28914,0,6,0.5496958174904943,0.6088973384030418,6.0
47,1.0,3,1,0,847,35354,788,0,5,0.013110826414654842,0.23479693193351414,0.0
49,0.0,1,0,0,782,20182,19492,0,2,0.30354278595343764,0.10259285213735109,2.0
61,1.0,1,0,0,548,9292,17323,0,3,0.7091452431635827,0.5369248403471426,0.0
45,1.0,0,0,0,357,17881,13599,0,7,0.4067659727207466,0.6284996410624551,0.0
19,0.0,2,2,0,587,37560,22349,0,4,0.6894009500894565,0.6355728299093096,0.0
20,1.0,1,0,2,511,41654,18678,1,8,0.4534595775673707,0.850109249817917,4.0
39,1.0,3,1,1,846,16021,285,0,6,0.004480357170929556,0.3523918819072173,0.0
30,1.0,0,0,0,306,17048,4879,0,1,0.11330701346957733,0.5113794705062703,1.0
28,1.0,0,0,0,720,41166,10525,0,9,0.08747215850536884,0.36950234367208534,0.0
45,0.0,1,0,0,756,16291,14334,1,6,0.11346024458780227,0.359330351842324,0.0
38,0.0,0,0,0,788,22407,10490,0,9,0.07332433962659807,0.20139379154638165,9.0
37,0.0,3,1,1,827,38747,3190,0,7,0.02999840133911359,0.39406050461260683,7.0
31,0.0,1,0,2,777,29781,8134,1,7,0.06367771280051981,0.45242960144672256,0.0
38,0.0,2,0,1,849,15771,18477,1,1,0.12439324882015929,0.11374943616741956,1.0
55,0.0,1,0,0,385,35987,7125,1,2,0.21643377885783718,1.003523693803159,2.0
29,0.0,3,0,1,807,32765,4132,0,5,0.06446881874775716,0.4298753374003401,2.5
37,0.0,0,0,0,772,42942,21722,0,8,0.20784613912544253,0.41083149937804997,8.0
30,1.0,2,1,0,795,31882,29162,0,5,0.30979571457406013,0.3030180701773023,0.0
41,1.0,2,2,2,744,35412,9871,0,2,0.0805519740170717,0.1867441367041504,1.0
57,1.0,2,1,0,473,19301,13054,0,3,0.22675004342539518,0.8383533090151121,1.5
31,0.0,2,1,0,753,12975,20200,0,0,0.28956422018348627,0.20280963302752295,0.0
63,1.0,2,0,0,578,19872,15772,0,1,0.2266808473942913,0.3928828077840697,1.0
52,1.0,3,1,2,486,32759,3811,0,8,0.1032567465048228,0.6883060583071421,4.0
42,0.0,1,0,0,776,48420,27872,0,0,0.4870087889430553,0.9198511296325418,0.0
49,1.0,1,0,1,795,36627,22058,0,7,0.29915236997355393,0.26413507832101446,3.5
38,0.0,0,2,0,393,20021,11026,0,9,0.3379616858237548,0.7378390804597701,0.0
42,0.0,0,0,0,343,33737,6135,1,3,0.10978490390465624,0.39833935793278696,3.0
48,1.0,3,0,1,364,43328,177,1,0,0.004115513392857143,0.6813616071428571,0.0
32,0.0,3,0,1,500,29026,5905,0,5,0.23401894344707327,1.0257995482106765,0.0
39,1.0,0,0,0,773,24091,11162,0,8,0.11574035669846537,0.3811281625881377,8.0
49,1.0,2,1,0,744,17351,1826,0,2,0.016655872882670047,0.2537238554788335,1.0
43,0.0,0,1,1,754,23783,3183,0,6,0.022367135840120303,0.41850365758536123,0.0
68,1.0,3,2,0,336,49896,19749,0,0,0.5260928634220411,0.9228802045872293,0.0
37,0.0,0,1,1,783,40693,4720,0,7,0.036481681867367444,0.14441181017158758,3.5
38,0.0,2,1,0,817,45074,1686,0,9,0.011287029288702928,0.3586142259414226,9.0
49,1.0,0,0,0,728,19517,12570,1,9,0.17639629525680606,0.1518944709514454,9.0
43,1.0,1,0,0,823,43294,25786,0,8,0.19069664250850465,0.2712912291081201,8.0
47,0.0,1,2,1,785,5830,27409,0,7,0.3877680946183012,0.14905777828079905,3.5
36,0.0,3,1,0,568,3935,200,1,4,0.0029725190612784804,0.7134045747068353,0.0
41,0.0,2,0,2,841,4480,17424,0,5,0.19686578462720464,0.6253064729343442,0.0
61,0.0,0,0,1,593,27009,10449,1,6,0.23484593082057853,1.3455599757265189,0.0
40,1.0,2,1,1,727,19694,29696,0,5,0.33697971040806135,0.4663882710725796,0.0
43,1.0,2,0,0,823,25467,23923,1,8,0.18235105799134094,0.2026038173059333,4.0
62,0.0,3,0,0,518,39389,2280,0,3,0.045086910953350864,0.9079080068816864,3.0
27,0.0,0,1,0,561,8069,17606,0,9,0.30382411817491545,0.9821909297991303,9.0
32,0.0,3,1,2,765,32188,23664,0,2,0.22803179956636954,0.35106721271982655,0.0
66,0.0,3,1,0,455,26135,11287,0,4,0.17707320134291363,0.8221266982523298,2.0
37,0.0,0,1,0,773,3150,18475,0,5,0.1492627751969299,0.26176529993940617,2.5
26,1.0,2,2,0,823,26096,9860,0,0,0.17579204478596516,0.7244201180267076,0.0
49,0.0,0,0,1,770,6393,20072,1,6,0.19650689223057644,0.5131578947368421,3.0
36,1.0,1,1,0,796,30979,3438,1,0,0.02908407989239398,0.33083775347054795,0.0
48,1.0,2,2,0,802,318,3543,0,7,0.031476545842217485,0.3040511727078891,0.0
42,1.0,1,1,0,725,33778,12932,0,4,0.08994109178414694,0.2820083041806055,4.0
43,0.0,1,1,0,798,32177,8876,0,4,0.11898282818804541,0.7682676711484068,0.0
48,0.0,1,1,2,793,49387,20339,0,9,0.3861957656887876,1.0189689547137568,4.5
40,1.0,2,0,0,713,44270,18648,0,1,0.1339520450529401,0.22428778714784434,0.0
37,0.0,1,1,1,432,11317,15767,1,4,0.27359489146089644,0.640927310902497,2.0
26,0.0,0,1,0,708,30703,17413,0,0,0.1610182813496944,0.45695051921992175,0.0
44,0.0,3,0,0,730,15382,21345,0,6,0.20230693407135003,0.4826932554877355,0.0
55,1.0,2,2,0,463,2470,5040,0,5,0.1443836479789154,1.094565559916349,0.0
38,0.0,2,0,0,709,42088,1878,0,6,0.01942651439920556,0.5225918570009931,0.0
48,1.0,2,0,0,809,5592,22604,1,4,0.2128837822565455,0.5120738368807685,0.0
27,1.0,3,0,0,833,39783,17915,0,6,0.14150757103024464,0.09023625405802482,3.0
45,0.0,0,0,2,773,39599,29728,0,1,0.3402229394126668,0.30982627205932844,0.5
36,0.0,1,1,1,475,5019,16937,0,7,0.27580198664712585,0.6534440644846117,0.0
25,1.0,2,1,1,440,47153,7678,0,3,0.20216435398509702,0.7839068959161642,0.0
32,1.0,0,0,0,721,2100,997,0,4,0.0072930229836291015,0.3777156818281568,4.0
23,1.0,1,1,1,398,35830,27813,0,8,0.6418582110218776,0.9066740515092772,8.0
59,0.0,3,2,2,342,36400,25674,0,8,0.4055027324130524,0.24354803045140094,0.0
35,0.0,0,1,1,734,30053,4107,0,6,0.02977057736218332,0.11290638251603784,3.0
66,0.0,2,1,0,440,25771,2849,0,4,0.05562063175979071,0.231931591894108,4.0
35,0.0,3,1,0,745,12168,9521,0,9,0.15720300503591184,0.6768265499876166,9.0
68,0.0,2,1,2,554,17296,28858,0,7,0.44682893595937073,0.5039018952062431,0.0
30,0.0,0,0,0,461,672,27216,0,9,0.7468715697036223,0.8670691547749726,4.5
48,1.0,0,0,1,786,10311,16307,1,0,0.16113636363636363,0.4859288537549407,0.0
27,1.0,2,0,0,715,1830,22695,0,1,0.39297340351849286,0.31500207785011775,0.0
30,0.0,0,2,0,720,46635,12786,0,0,0.1268276231475787,0.29186422520681654,0.0
26,0.0,3,1,0,762,46686,20418,1,0,0.19198691126552642,0.169702212485073,0.0
50,1.0,3,1,0,572,21650,28767,0,6,0.8143985505194915,0.7742264247091131,3.0
33,0.0,0,2,1,569,47060,12497,0,3,0.2034447392840282,0.7640288472495808,3.0
49,1.0,1,2,0,739,4693,5617,1,9,0.059444814850091544,0.25615137949646,4.5
33,1.0,1,0,0,791,48380,10900,1,2,0.07909153575445343,0.31085150382759497,1.0
45,1.0,2,2,1,700,6612,28709,0,7,0.2916869869137609,0.24177029992684712,0.0
25,1.0,3,0,0,808,436,7037,1,7,0.05542079480838597,0.14251736575991936,0.0
42,0.0,2,0,1,835,15016,29279,0,6,0.2528127239601772,0.11749976254824587,0.0
41,0.0,0,0,0,780,26735,14350,0,1,0.11759981642955485,0.24201796367927622,1.0
33,0.0,3,1,0,555,12972,11561,0,3,0.22735496558505408,0.1463126843657817,3.0
30,0.0,2,2,0,772,520,25737,0,2,0.2858523257363721,0.2966813274690124,2.0
42,0.0,1,1,2,761,46628,7447,0,6,0.06650354084247939,0.3356343600139312,6.0
31,0.0,3,0,0,502,7817,20390,0,7,0.3223052969350173,0.6752762278108847,7.0
41,1.0,3,2,0,843,30660,2822,0,9,0.03920860310667741,0.4354905938255481,0.0
43,1.0,2,2,1,595,40933,13116,0,7,0.2056637501176028,0.6384419983065199,3.5
23,1.0,3,1,0,556,103,28649,0,5,0.8225144268037093,0.6397749131520771,0.0
35,0.0,2,1,2,800,24655,1123,0,2,0.016360484258679215,0.5066359755831064,1.0
26,0.0,1,0,0,760,15398,5486,0,7,0.09385318118830513,0.49085590132243,0.0
49,0.0,0,1,2,787,42460,1546,0,3,0.010698369640435131,0.2052758324798627,0.0
27,0.0,3,2,2,820,15993,15219,0,7,0.12393322475570033,0.062052117263843645,3.5
32,0.0,0,0,0,774,14033,16914,0,4,0.19860737644282142,0.6073059896903585,2.0
33,1.0,2,2,0,837,34765,14222,0,0,0.13475204184116277,0.3048265145629228,0.0
34,0.0,3,0,1,760,1533,11448,0,9,0.175260257195346,0.32314758113900793,9.0
45,0.0,2,0,0,726,28473,10845,0,8,0.07827160137417362,0.061318167383584976,0.0
46,1.0,0,0,0,785,22637,16999,0,4,0.162345166127076,0.10967538606996534,2.0
62,1.0,0,0,0,301,2800,18034,1,7,0.3835878674437402,0.8239247883609138,0.0
36,1.0,3,2,0,841,14055,684,0,0,0.007352862133834991,0.5625584520290244,0.0
34,1.0,2,0,0,767,34856,586,0,1,0.007799294603047847,0.21066081054102614,0.0
45,0.0,2,0,1,720,38022,23817,0,8,0.4172126265634306,0.27789650702448937,8.0
47,1.0,0,0,1,476,22922,1856,0,0,0.026981842499309464,0.5879017837672816,0.0
38,0.0,0,0,0,752,23882,13430,0,4,0.11783802755110995,0.06759673598315347,4.0
30,1.0,1,0,0,843,5139,15634,0,2,0.1842176582181531,0.2593234119268974,0.0
44,0.0,3,0,0,535,34136,4201,0,6,0.10711917996838187,1.0476821867509818,6.0
26,1.0,1,2,0,782,34382,22836,0,2,0.15848868037144484,0.3002373582443818,1.0
32,0.0,1,0,1,306,4279,20091,0,7,0.39154583723105707,0.3075304022450889,0.0
49,0.0,3,0,1,707,31238,5212,0,7,0.06663853835040211,0.30041041770549654,7.0
47,0.0,1,2,0,785,40493,20525,1,8,0.1512538780683719,0.08082594565914267,0.0
46,1.0,3,1,2,782,31657,21790,0,1,0.14746387845565595,0.27392142929651814,0.0
39,0.0,2,0,1,747,47433,22154,0,3,0.3891924178275917,0.197319185566467,0.0
28,0.0,3,0,0,817,31255,15717,0,6,0.14222628430778142,0.21924402978996807,3.0
60,1.0,1,1,0,500,34274,2027,0,9,0.05647183373265727,0.9568172953696996,0.0
31,0.0,1,0,0,704,17459,20409,0,0,0.14569739716443697,0.26599466011793427,0.0
39,0.0,1,0,0,768,21615,27646,0,6,0.3479234835137176,0.25537377296753083,3.0
44,0.0,3,0,0,826,16792,9182,1,8,0.08171220076532883,0.15698140072973213,0.0
43,0.0,0,0,0,772,17521,9083,0,7,0.07699154050892569,0.07252445454083103,0.0
38,0.0,1,1,0,800,23732,769,0,2,0.015170944386356014,0.45690386474383005,2.0
34,1.0,2,0,0,736,4963,16649,1,3,0.2056879532510532,0.32333864571365034,1.5
48,1.0,2,0,1,799,43474,17507,1,1,0.13917861799217732,0.3956180239768499,1.0
30,0.0,2,2,0,738,33917,4709,0,0,0.04584976388686043,0.28111581714619543,0.0
26,1.0,3,1,0,759,22458,14403,0,0,0.12259854785029069,0.10582136685932193,0.0
31,0.0,0,2,0,829,33195,21590,0,6,0.15070921985815602,0.3265203551683699,0.0
48,1.0,3,0,0,762,28917,21635,0,9,0.2826737394985432,0.6418856239465879,4.5
45,1.0,2,0,1,789,34839,15850,0,0,0.11001978273695902,0.24405650227327944,0.0
52,1.0,1,1,0,541,30084,19967,0,0,0.36868733497054856,0.25348523736543754,0.0
32,0.0,3,2,1,719,17516,17743,0,6,0.1757254630088145,0.2960483311874814,3.0
42,0.0,0,1,0,823,803,5625,0,6,0.050683894685624696,0.25982591771638647,0.0
39,1.0,2,2,0,836,11541,12500,0,2,0.09993124730185632,0.11435332491246022,0.0
60,0.0,3,0,2,571,48885,6024,0,6,0.12011964107676969,0.6343369890329013,6.0
39,1.0,0,0,0,507,9380,27972,0,7,1.0764257677210807,0.37404756407296236,0.0
47,0.0,1,2,1,831,32464,23196,0,9,0.2815287706479919,0.36600196618644787,0.0
34,0.0,2,1,0,812,5727,12445,0,7,0.18232028010958262,0.6743726102052476,0.0
42,0.0,3,2,0,531,24276,29827,0,3,1.2237722069503139,1.767037295367825,0.0
45,0.0,3,0,1,803,47983,13060,0,3,0.21767755054419388,0.44782239111955596,0.0
41,0.0,1,2,0,841,36115,10298,0,6,0.1863554107853782,1.0553745928338762,6.0
42,1.0,0,0,1,727,48833,3510,0,8,0.02838198431309129,0.22540632327969595,8.0
48,0.0,0,1,0,767,10493,23115,0,0,0.16936299292214357,0.3857211940036049,0.0
18,0.0,2,0,0,308,14192,24090,1,8,0.3749649783644118,0.3203312268468076,8.0
19,0.0,0,0,1,430,42859,14940,0,5,0.5021848739495798,0.9914621848739495,5.0
29,0.0,0,0,2,753,4854,4069,0,0,0.034022592539946654,0.40857212137428195,0.0
34,1.0,2,2,1,769,43757,22134,0,1,0.16211346624284062,0.19661036811343693,1.0
36,0.0,2,2,2,764,42982,27581,0,6,0.4716313269493844,0.6742818057455541,6.0
30,0.0,3,0,0,303,38626,1076,0,4,0.045049194054846135,1.729286162863722,0.0
65,1.0,1,0,1,571,43051,23512,0,2,0.8795451144695496,0.9054316923537333,0.0
46,1.0,0,2,0,395,3907,11089,1,4,0.19775300936246099,1.026125724476148,0.0
20,1.0,1,2,0,530,29123,19688,0,6,0.35544322079797797,0.39321177107781186,6.0
28,1.0,2,2,0,774,34966,27650,0,1,0.22828976700407866,0.20251325153982067,0.5
40,0.0,1,2,1,833,10229,9962,0,7,0.07802134974898772,0.20657409365381452,3.5
34,1.0,1,0,1,745,23971,23485,0,0,0.266321173015207,0.5123436490026423,0.0
31,0.0,3,2,0,490,42010,27489,0,1,0.8076923076923077,1.2181935711347476,0.0
45,0.0,3,2,1,787,30758,9234,1,7,0.07626110799114665,0.4204023653001222,3.5
43,0.0,1,1,1,708,10522,2585,0,1,0.017491389635082923,0.04433407539228755,1.0
29,0.0,0,2,0,765,12593,13093,0,8,0.12977371618875816,0.41866965338831014,8.0
43,1.0,0,0,0,750,40422,27377,1,4,0.23715966284640105,0.19647080225577587,4.0
35,0.0,0,0,0,797,45299,6348,0,1,0.05509890548645529,0.2644539149907561,0.0
41,1.0,3,0,0,782,8911,21675,0,3,0.17387711881402568,0.31285848367921576,0.0
31,0.0,3,1,0,765,37355,24260,0,1,0.30033673368327224,0.5336238486679211,1.0
28,0.0,1,1,1,757,4051,11888,1,3,0.09927763163388868,0.13248152323687837,1.5
39,1.0,1,0,1,758,5699,23462,0,2,0.19565362420360918,0.48073651556089264,2.0
48,0.0,0,2,1,807,2779,27929,1,3,0.2748132914817621,0.11240885967587992,3.0
53,1.0,1,0,0,387,48803,11865,0,6,0.2355942972876375,0.5966403240538501,0.0
40,0.0,0,0,1,829,32192,5771,0,8,0.11213010278430839,0.9951230885810325,0.0
47,0.0,1,0,1,703,44170,8282,1,4,0.1126143888609385,0.10606040003807296,4.0
36,0.0,2,0,2,408,13664,3612,0,6,0.059606911233229365,0.8451903559582158,6.0
26,1.0,0,0,1,715,19664,6566,0,8,0.06437381125120101,0.4850683346732289,0.0
28,0.0,0,2,2,461,20613,750,0,8,0.015048456028411485,0.2735207367724071,8.0
43,0.0,0,1,1,754,6477,7457,0,4,0.09573020437506419,0.4546061415220294,0.0
47,1.0,2,0,2,709,14530,455,0,3,0.005299262761905871,0.13850292915293322,3.0
38,1.0,1,0,0,720,29903,18679,0,9,0.19060593073328028,0.21514724790301842,4.5
36,0.0,2,1,0,712,19132,4447,0,4,0.043996596620364876,0.22664133919031224,4.0
43,1.0,2,0,0,813,1392,20956,0,9,0.2557730801152175,0.669042620709857,4.5
34,1.0,2,1,1,836,39240,12186,0,1,0.0921994401150034,0.23587803586290385,1.0
57,0.0,3,2,0,522,20043,20537,0,7,0.3813741875580316,0.6415598885793872,7.0
48,0.0,2,2,1,821,6874,26093,0,4,0.2067230752166817,0.40794790131672765,4.0
66,0.0,2,2,1,413,42933,16370,0,5,0.5798384811561349,0.6775290450552565,5.0
47,1.0,3,0,0,713,43598,28026,0,5,0.34010897661492906,0.14198512190090168,5.0
25,0.0,0,2,0,591,39586,7056,0,4,0.1393530039104159,0.18746296954615477,0.0
33,0.0,0,1,1,773,40711,27669,0,1,0.24154517677869924,0.33983413356612835,1.0
48,1.0,1,1,1,765,40265,18177,0,5,0.279680576070901,0.16912850812407682,2.5
38,0.0,3,0,1,748,31391,22513,0,2,0.21425648346419224,0.22555317630264096,1.0
39,1.0,1,1,0,833,16966,2652,0,4,0.01797710156520089,0.2132035439022241,2.0
65,1.0,3,0,0,345,11188,27321,0,7,0.4228340607298728,0.7532732844275234,0.0
46,0.0,2,0,2,846,49518,2349,0,8,0.01994227014177774,0.08465913914593769,4.0
32,0.0,2,2,0,770,11123,29058,0,1,0.4022202535850728,0.3740656663529151,0.5
27,1.0,2,0,0,788,45994,17161,0,5,0.24492621242828191,0.5939542716866955,2.5
26,0.0,1,1,0,750,39550,28666,1,0,0.2311513216249778,0.32696308481300496,0.0
18,0.0,0,0,0,391,14727,12061,0,7,0.17773880750979987,0.621768988181202,7.0
49,1.0,3,0,0,373,17247,8152,0,0,0.26604007571307353,0.6661445075386724,0.0
25,0.0,3,0,0,569,43290,14939,0,1,0.3461707797474221,0.727146332985749,1.0
47,0.0,1,2,0,839,43441,23800,0,5,0.19301888016609356,0.09634723934341141,2.5
30,0.0,1,0,0,728,37360,3513,0,5,0.04141467727674624,0.30797524314765695,0.0
60,1.0,0,0,0,479,49542,12490,0,4,0.2437977006109582,0.5153129940856123,4.0
27,0.0,0,0,0,721,46923,4542,1,0,0.03936864550016902,0.09995579478378448,0.0
63,0.0,0,1,0,493,25569,4823,0,0,0.07926568714459455,0.6575288433093384,0.0
39,1.0,0,2,0,330,38614,6457,0,9,0.09416929179792323,0.59957997899895,9.0
54,1.0,3,2,1,587,43386,11258,0,4,0.25440658049353704,0.5713640061466149,2.0
45,0.0,1,2,0,842,10534,3969,0,9,0.0574168908948876,0.09947053207186876,0.0
44,1.0,0,0,0,765,28999,1327,0,9,0.01014929482668951,0.1484994034325573,9.0
46,0.0,2,0,0,475,12193,17962,0,6,0.4594331900961735,0.5082872928176796,6.0
37,0.0,3,2,2,725,20124,3813,0,5,0.04189511388482964,0.3256677617483217,2.5
45,0.0,0,0,0,715,8318,9410,0,3,0.1763889930269176,0.40938741845992355,3.0
29,1.0,1,2,1,797,37596,18235,1,7,0.15400271943381727,0.16235526615825077,0.0
54,1.0,0,0,2,519,32281,27101,0,1,0.5069682174457976,0.9259778887704136,0.5
34,0.0,1,0,2,759,16298,2759,0,8,0.030267791515364278,0.22537930731846456,0.0
37,0.0,2,1,0,782,13079,9086,0,4,0.0980658809307948,0.19194404869835513,4.0
34,1.0,1,2,1,792,27712,14532,0,0,0.09921621104951252,0.043176666575634265,0.0
32,1.0,0,1,1,745,32805,3919,1,4,0.04731948804636561,0.09099251388553489,2.0
51,1.0,3,2,1,422,6349,497,1,7,0.01617259444860239,0.3744752855422863,0.0
26,1.0,0,0,0,746,46234,21270,0,5,0.1974527023263586,0.30690109726889586,0.0
46,0.0,0,1,0,811,19632,18838,0,9,0.16547641008072664,0.4061454133396579,0.0
68,0.0,3,0,0,307,4790,25286,0,1,0.49445628580926493,0.9142142005123292,1.0
27,1.0,3,0,0,405,7096,5184,1,6,0.12093218559731261,0.5727482678983834,6.0
39,1.0,3,1,1,814,48405,12125,0,5,0.1419307261000363,0.37153659764248675,5.0
44,0.0,3,2,0,369,14007,5200,0,7,0.1220428088621855,0.9029290274126924,7.0
40,0.0,0,1,0,784,30201,20437,1,5,0.20741063998213816,0.18523555321005947,2.5
34,1.0,0,0,0,754,24232,6468,0,9,0.04642116368699447,0.346737671621224,0.0
59,1.0,3,0,1,476,45844,21871,0,0,0.6850100225507392,1.216612377850163,0.0
43,0.0,3,0,0,372,47927,8634,0,4,0.26344857046959386,0.7301132029414457,4.0
69,1.0,2,0,0,344,20497,22324,0,3,0.5156015428320669,0.5692773171351364,1.5
44,1.0,0,1,1,450,9255,27737,0,2,0.6469422027335915,1.2407519708914494,0.0
43,1.0,3,2,0,819,23163,10611,0,4,0.08100680209788608,0.08070906717357947,2.0
28,0.0,0,0,0,768,4995,5626,0,2,0.05117569472870333,0.3015963978714695,1.0
51,0.0,3,0,1,308,7661,27821,0,2,0.4785996903492173,0.4070875623602271,0.0
33,0.0,3,2,1,722,2728,19627,0,8,0.1414415842725779,0.3311233461128247,0.0
28,1.0,2,2,1,493,45090,25917,1,5,0.4756547433332722,0.12707618330978032,5.0
20,0.0,0,1,2,580,1914,5231,0,9,0.08772577101745795,0.36445353770816213,0.0
56,1.0,3,0,1,316,25746,22090,1,4,0.5100320934635543,0.8849483964812634,2.0
49,1.0,3,1,1,766,9067,16923,1,4,0.1768006017676926,0.09891556447063249,4.0
49,1.0,3,2,0,822,8835,7736,0,9,0.0725635493856111,0.24909483162930307,9.0
30,0.0,0,1,0,721,15771,24561,0,0,0.2823233252103545,0.08855579566876638,0.0
25,0.0,1,2,0,708,24978,14558,1,8,0.15306004436827772,0.4265662948282569,0.0
36,1.0,0,0,1,747,39962,16601,0,5,0.11098483075832838,0.36085279350710997,2.5
42,1.0,3,1,0,775,3381,9388,1,6,0.10495835429593604,0.2751635083011907,3.0
33,0.0,0,0,0,820,2414,10042,0,4,0.07497946688568655,0.37461360412155603,2.0
29,0.0,0,2,0,838,29677,19779,0,3,0.2309389813885062,0.4064638161735516,3.0
37,0.0,3,1,0,815,15420,25908,1,8,0.29317973497493466,0.3142278400796659,8.0
42,1.0,2,1,1,785,40699,6922,1,3,0.07025699321992611,0.4707482440826601,1.5
39,0.0,2,0,1,793,13903,28021,0,7,0.40007709990148344,0.7411870529276546,7.0
64,0.0,0,1,1,411,32716,23651,0,4,0.4088190555209846,0.442854179630782,4.0
30,1.0,0,1,0,748,19474,13892,0,2,0.09270665803575599,0.2585002235583821,2.0
31,1.0,0,1,2,779,39999,22988,0,1,0.36044907175112895,0.8211239337681887,0.0
37,1.0,0,2,2,783,15362,25102,1,5,0.282947833536228,0.2578114432571351,2.5
29,0.0,3,0,0,435,10183,8596,1,9,0.21891155423128836,0.5149362059744824,9.0
34,1.0,0,2,0,720,10238,21308,0,5,0.1879492992035,0.2031207275229115,2.5
46,0.0,2,1,0,788,23618,307,0,9,0.0034025668875933765,0.28182563784275044,0.0
25,0.0,3,0,0,828,23530,9201,0,4,0.06214330579963664,0.06491918871276028,0.0
