Age,Marital_Status,Dependents,Employment_Status,Residential_Status,Annual_Income,Monthly_Expenses,Existing_Loans,Total_Existing_Loan_Amount,Outstanding_Debt,Loan_History,Bank_Account_History,Transaction_Frequency
47,1,2,1,0,67520,4023,1,34107,5958,0,0,19
29,0,1,1,0,122670,3948,0,47607,19881,0,3,9
59,0,1,1,0,67367,1815,1,40511,27294,0,6,8
34,0,1,1,1,134031,3080,0,20736,28911,1,6,12
41,0,3,1,1,116852,3954,1,38210,17280,0,7,28
43,0,1,1,0,122278,4560,0,20248,5386,0,1,22
46,0,3,1,0,52600,2669,1,32961,28914,0,6,17
47,1,3,1,0,60103,1176,0,35354,788,0,5,17
49,1,1,0,0,64215,549,1,20182,19492,0,2,18
61,1,1,0,0,24428,1093,0,9292,17323,0,3,19
45,1,0,0,0,33432,1751,0,17881,13599,0,7,18
19,0,2,2,0,32418,1717,0,37560,22349,0,4,19
20,1,1,0,2,41190,2918,2,41654,18678,1,8,17
39,1,3,1,1,63611,1868,0,16021,285,0,6,9
30,1,0,0,0,43060,1835,1,17048,4879,0,1,8
28,1,0,0,0,120324,3705,0,41166,10525,0,9,28
45,0,1,0,0,126335,3783,0,16291,14334,1,6,21
38,0,0,0,0,143063,2401,1,22407,10490,0,9,17
37,0,3,1,1,106339,3492,1,38747,3190,0,7,19
31,0,1,0,2,127737,4816,0,29781,8134,1,7,15
38,0,2,0,1,148537,1408,1,15771,18477,1,1,14
55,1,1,0,0,32920,2753,1,35987,7125,1,2,23
29,0,3,0,1,64093,2296,2,32765,4132,0,5,27
37,0,0,0,0,104510,3578,1,42942,21722,0,8,25
30,1,2,1,0,94133,2377,0,31882,29162,0,5,9
41,1,2,2,2,122542,1907,2,35412,9871,0,2,16
57,1,2,1,0,57570,4022,2,19301,13054,0,3,29
31,1,2,1,0,69760,1179,0,12975,20200,0,0,6
63,1,2,0,0,69578,2278,1,19872,15772,0,1,10
52,1,3,1,2,36908,2117,2,32759,3811,0,8,27
42,0,1,0,0,57231,4387,2,48420,27872,0,0,25
49,1,1,0,1,73735,1623,2,36627,22058,0,7,11
38,0,0,2,0,32625,2006,0,20021,11026,0,9,20
42,0,0,0,0,55882,1855,1,33737,6135,1,3,21
48,1,3,0,1,43008,2442,1,43328,177,1,0,24
32,1,3,0,1,25233,2157,0,29026,5905,0,5,21
39,1,0,0,0,96440,3063,1,24091,11162,0,8,15
49,1,2,1,0,109631,2318,2,17351,1826,0,2,6
43,0,0,1,1,142307,4963,0,23783,3183,0,6,24
68,1,3,2,0,37539,2887,1,49896,19749,0,0,12
37,0,0,1,1,129380,1557,2,40693,4720,0,7,7
38,0,2,1,0,149375,4464,1,45074,1686,0,9,5
49,1,0,0,0,71260,902,1,19517,12570,1,9,23
43,1,1,0,0,135220,3057,1,43294,25786,0,8,12
47,0,1,2,1,70684,878,2,5830,27409,0,7,5
36,0,3,1,0,67283,4000,0,3935,200,1,4,21
41,0,2,0,2,88507,4612,0,4480,17424,0,5,15
61,0,0,0,1,44493,4989,0,27009,10449,1,6,28
40,1,2,1,1,88124,3425,0,19694,29696,0,5,29
43,1,2,0,0,131192,2215,2,25467,23923,1,8,16
62,0,3,0,0,50569,3826,1,39389,2280,0,3,10
27,0,0,1,0,57948,4743,1,8069,17606,0,9,5
32,1,3,1,2,103775,3036,0,32188,23664,0,2,24
66,0,3,1,0,63742,4367,2,26135,11287,0,4,23
37,0,0,1,0,123775,2700,2,3150,18475,0,5,29
26,1,2,2,0,56089,3386,0,26096,9860,0,0,16
49,1,0,0,1,102144,4368,2,6393,20072,1,6,10
36,1,1,1,0,118209,3259,1,30979,3438,1,0,6
48,1,2,2,0,112560,2852,0,318,3543,0,7,26
42,1,1,1,0,143783,3379,1,33778,12932,0,4,18
43,0,1,1,0,74599,4776,0,32177,8876,0,4,9
48,0,1,1,2,52665,4472,2,49387,20339,0,9,20
40,1,2,0,0,139214,2602,0,44270,18648,0,1,26
37,0,1,1,1,57629,3078,2,11317,15767,1,4,19
26,0,0,1,0,108143,4118,2,30703,17413,0,0,6
44,0,3,0,0,105508,4244,0,15382,21345,0,6,10
55,1,2,2,0,34907,3184,0,2470,5040,0,5,28
38,0,2,0,0,96672,4210,0,42088,1878,0,6,16
48,1,2,0,0,106180,4531,0,5592,22604,1,4,28
27,1,3,0,0,126601,952,2,39783,17915,0,6,24
45,0,0,0,2,87378,2256,2,39599,29728,0,1,14
36,0,1,1,1,61410,3344,0,5019,16937,0,7,23
25,1,2,1,1,37979,2481,0,47153,7678,0,3,17
32,1,0,0,0,136706,4303,1,2100,997,0,4,6
23,1,1,1,1,43332,3274,1,35830,27813,0,8,8
59,0,3,2,2,63314,1285,0,36400,25674,0,8,10
35,1,0,1,1,137955,1298,2,30053,4107,0,6,11
66,0,2,1,0,51222,990,1,25771,2849,0,4,28
35,0,3,1,0,60565,3416,1,12168,9521,0,9,19
68,0,2,1,2,64584,2712,0,17296,28858,0,7,14
30,0,0,0,0,36440,2633,2,672,27216,0,9,18
48,1,0,0,1,101200,4098,2,10311,16307,1,0,19
27,1,2,0,0,57752,1516,0,1830,22695,0,1,15
30,0,0,2,0,100814,2452,1,46635,12786,0,0,7
26,0,3,1,0,106351,1504,0,46686,20418,1,0,22
50,1,3,1,0,35323,2279,2,21650,28767,0,6,21
33,0,0,2,1,61427,3911,1,47060,12497,0,3,5
49,1,1,2,0,94491,2017,2,4693,5617,1,9,26
33,1,1,0,0,137815,3570,2,48380,10900,1,2,25
45,1,2,2,1,98424,1983,0,6612,28709,0,7,29
25,1,3,0,0,126974,1508,0,436,7037,1,7,16
42,0,2,0,1,115813,1134,0,15016,29279,0,6,23
41,0,0,0,0,122024,2461,1,26735,14350,0,1,18
33,0,3,1,0,50850,620,1,12972,11561,0,3,26
30,1,2,2,0,90036,2226,1,520,25737,0,2,20
42,0,1,1,2,111979,3132,1,46628,7447,0,6,16
31,1,3,0,0,63263,3560,1,7817,20390,0,7,22
41,1,3,2,0,71974,2612,0,30660,2822,0,9,13
43,1,2,2,1,63774,3393,2,40933,13116,0,7,20
23,1,3,1,0,34831,1857,0,103,28649,0,5,10
35,0,2,1,2,68641,2898,2,24655,1123,0,2,16
26,0,1,0,0,58453,2391,0,15398,5486,0,7,23
49,0,0,1,2,144508,2472,0,42460,1546,0,3,20
27,0,3,2,2,122800,635,2,15993,15219,0,7,28
32,0,0,0,0,85163,4310,2,14033,16914,0,4,22
33,1,2,2,0,105542,2681,1,34765,14222,0,0,28
34,0,3,0,1,65320,1759,1,1533,11448,0,9,15
45,0,2,0,0,138556,708,0,28473,10845,0,8,12
46,1,0,0,0,104709,957,2,22637,16999,0,4,11
62,1,0,0,0,47014,3228,0,2800,18034,1,7,13
36,1,3,2,0,93025,4361,2,14055,684,0,0,12
34,1,2,0,0,75135,1319,0,34856,586,0,1,5
45,0,2,0,1,57086,1322,1,38022,23817,0,8,20
47,1,0,0,1,68787,3370,2,22922,1856,0,0,15
38,0,0,0,0,113970,642,1,23882,13430,0,4,11
30,1,1,0,0,84867,1834,0,5139,15634,0,2,16
44,0,3,0,0,39218,3424,1,34136,4201,0,6,10
26,1,1,2,0,144086,3605,2,34382,22836,0,2,15
32,0,1,0,1,51312,1315,0,4279,20091,0,7,8
49,0,3,0,1,78213,1958,1,31238,5212,0,7,23
47,0,1,2,0,135699,914,0,40493,20525,1,8,21
46,1,3,1,2,147765,3373,0,31657,21790,0,1,21
39,0,2,0,1,56923,936,0,47433,22154,0,3,21
28,0,3,0,0,110507,2019,2,31255,15717,0,6,6
60,1,1,1,0,35894,2862,0,34274,2027,0,9,24
31,0,1,0,0,140078,3105,2,17459,20409,0,0,8
39,0,1,0,0,79460,1691,2,21615,27646,0,6,23
44,0,3,0,0,112370,1470,0,16792,9182,1,8,21
43,1,0,0,0,117974,713,0,17521,9083,0,7,19
38,0,1,1,0,50689,1930,1,23732,769,0,2,23
34,1,2,0,0,80943,2181,2,4963,16649,1,3,11
48,1,2,0,1,125788,4147,1,43474,17507,1,1,16
30,0,2,2,0,102705,2406,2,33917,4709,0,0,16
26,1,3,1,0,117481,1036,2,22458,14403,0,0,10
31,0,0,2,0,143256,3898,0,33195,21590,0,6,21
48,1,3,0,0,76537,4094,2,28917,21635,0,9,24
45,1,2,0,1,144065,2930,2,34839,15850,0,0,6
52,1,1,1,0,54157,1144,0,30084,19967,0,0,17
32,0,3,2,1,100970,2491,2,17516,17743,0,6,19
42,0,0,1,0,110982,2403,0,803,5625,0,6,8
39,1,2,2,0,125086,1192,0,11541,12500,0,2,19
60,0,3,0,2,50150,2651,1,48885,6024,0,6,6
39,1,0,0,0,25986,810,0,9380,27972,0,7,9
47,0,1,2,1,82393,2513,0,32464,23196,0,9,24
34,0,2,1,0,68259,3836,0,5727,12445,0,7,5
42,0,3,2,0,24373,3589,0,24276,29827,0,3,28
45,0,3,0,1,59997,2239,0,47983,13060,0,3,26
41,0,1,2,0,55260,4860,1,36115,10298,0,6,8
42,1,0,0,1,123670,2323,1,48833,3510,0,8,16
48,1,0,1,0,136482,4387,2,10493,23115,0,0,17
18,0,2,0,0,64246,1715,1,14192,24090,1,8,28
19,0,0,0,1,29750,2458,1,42859,14940,0,5,22
29,1,0,0,2,119597,4072,2,4854,4069,0,0,10
34,1,2,2,1,136534,2237,1,43757,22134,0,1,15
36,0,2,2,2,58480,3286,1,42982,27581,0,6,13
30,0,3,0,0,23885,3442,0,38626,1076,0,4,22
65,1,1,0,1,26732,2017,0,43051,23512,0,2,7
46,1,0,2,0,56075,4795,0,3907,11089,1,4,5
20,1,1,2,0,55390,1815,1,29123,19688,0,6,24
28,1,2,2,0,121118,2044,2,34966,27650,0,1,11
40,1,1,2,1,127683,2198,2,10229,9962,0,7,24
34,1,1,0,1,88183,3765,0,23971,23485,0,0,22
31,0,3,2,0,34034,3455,0,42010,27489,0,1,24
45,0,3,2,1,121084,4242,2,30758,9234,1,7,22
43,0,1,1,1,147787,546,1,10522,2585,0,1,17
29,0,0,2,0,100891,3520,1,12593,13093,0,8,15
43,1,0,0,0,115437,1890,1,40422,27377,1,4,20
35,0,0,0,0,115211,2539,0,45299,6348,0,1,21
41,1,3,0,0,124657,3250,0,8911,21675,0,3,10
31,0,3,1,0,80776,3592,1,37355,24260,0,1,9
28,0,1,1,1,119745,1322,2,4051,11888,1,3,23
39,1,1,0,1,119916,4804,1,5699,23462,0,2,21
48,1,0,2,1,101629,952,1,2779,27929,1,3,7
53,1,1,0,0,50362,2504,0,48803,11865,0,6,17
40,0,0,0,1,51467,4268,0,32192,5771,0,8,29
47,0,1,0,1,73543,650,1,44170,8282,1,4,18
36,1,2,0,2,60597,4268,1,13664,3612,0,6,24
26,1,0,0,1,101998,4123,0,19664,6566,0,8,5
28,0,0,2,2,49839,1136,1,20613,750,0,8,13
43,0,0,1,1,77896,2951,0,6477,7457,0,4,21
47,1,2,0,2,85861,991,1,14530,455,0,3,26
38,1,1,0,0,97998,1757,2,29903,18679,0,9,8
36,0,2,1,0,101076,1909,1,19132,4447,0,4,10
43,1,2,0,0,81932,4568,2,1392,20956,0,9,17
34,1,2,1,1,132170,2598,1,39240,12186,0,1,10
57,0,3,2,0,53850,2879,1,20043,20537,0,7,28
48,0,2,2,1,126222,4291,1,6874,26093,0,4,16
66,0,2,2,1,28232,1594,1,42933,16370,0,5,9
47,1,3,0,0,82403,975,1,43598,28026,0,5,14
25,0,0,2,0,50634,791,0,39586,7056,0,4,8
33,0,0,1,1,114550,3244,1,40711,27669,0,1,25
48,1,1,1,1,64992,916,2,40265,18177,0,5,19
38,0,3,0,1,105075,1975,2,31391,22513,0,2,12
39,1,1,1,0,147521,2621,2,16966,2652,0,4,18
65,1,3,0,0,64614,4056,0,11188,27321,0,7,23
46,0,2,0,2,117790,831,2,49518,2349,0,8,16
32,0,2,2,0,72244,2252,2,11123,29058,0,1,5
27,1,2,0,0,70066,3468,2,45994,17161,0,5,15
26,0,1,1,0,124014,3379,2,39550,28666,1,0,28
18,0,0,0,0,67858,3516,1,14727,12061,0,7,29
49,1,3,0,0,30642,1701,1,17247,8152,0,0,25
25,0,3,0,0,43155,2615,1,43290,14939,0,1,14
47,0,1,2,0,123304,990,2,43441,23800,0,5,14
30,0,1,0,0,84825,2177,0,37360,3513,0,5,8
60,1,0,0,0,51231,2200,1,49542,12490,0,4,16
27,0,0,0,0,115371,961,2,46923,4542,1,0,9
63,0,0,1,0,60846,3334,2,25569,4823,0,0,28
39,1,0,2,0,68568,3426,1,38614,6457,0,9,27
54,1,3,2,1,44252,2107,2,43386,11258,0,4,28
45,0,1,2,0,69126,573,0,10534,3969,0,9,26
44,1,0,0,0,130748,1618,1,28999,1327,0,9,23
46,0,2,0,0,39096,1656,1,12193,17962,0,6,19
37,0,3,2,2,91013,2470,2,20124,3813,0,5,21
45,0,0,0,0,53348,1820,1,8318,9410,0,3,7
29,1,1,2,1,118407,1602,0,37596,18235,1,7,24
54,1,0,0,2,53457,4125,2,32281,27101,0,1,29
34,1,1,0,2,91153,1712,0,16298,2759,0,8,29
37,0,2,1,0,92652,1482,1,13079,9086,0,4,19
34,1,1,2,1,146468,527,2,27712,14532,0,0,14
32,1,0,1,1,82820,628,2,32805,3919,1,4,6
51,1,3,2,1,30731,959,0,6349,497,1,7,24
26,1,0,0,0,107722,2755,0,46234,21270,0,5,19
46,0,0,1,0,113841,3853,0,19632,18838,0,9,18
68,0,3,0,0,51139,3896,1,4790,25286,0,1,14
27,1,3,0,0,42867,2046,1,7096,5184,1,6,19
39,1,3,1,1,85429,2645,1,48405,12125,0,5,20
44,0,3,2,0,42608,3206,1,14007,5200,0,7,16
40,0,0,1,0,98534,1521,2,30201,20437,1,5,16
34,1,0,0,0,139333,4026,0,24232,6468,0,9,12
59,1,3,0,1,31928,3237,0,45844,21871,0,0,12
43,0,3,0,0,32773,1994,1,47927,8634,0,4,27
69,1,2,0,0,43297,2054,2,20497,22324,0,3,26
44,1,0,1,1,42874,4433,0,9255,27737,0,2,29
43,1,3,2,0,130989,881,2,23163,10611,0,4,17
28,0,0,0,0,109935,2763,2,4995,5626,0,2,27
51,1,3,0,1,58130,1972,0,7661,27821,0,2,17
33,0,3,2,1,138764,3829,0,2728,19627,0,8,15
28,1,2,2,1,54487,577,1,45090,25917,1,5,6
20,1,0,1,2,59629,1811,0,1914,5231,0,9,12
56,1,3,0,1,43311,3194,2,25746,22090,1,4,16
49,1,3,1,1,95718,789,1,9067,16923,1,4,20
49,1,3,2,0,106610,2213,1,8835,7736,0,9,18
30,0,0,1,0,86996,642,1,15771,24561,0,0,13
25,0,1,2,0,95113,3381,0,24978,14558,1,8,27
36,1,0,0,1,149579,4498,2,39962,16601,0,5,23
42,1,3,1,0,89445,2051,2,3381,9388,1,6,12
33,1,0,0,0,133930,4181,2,2414,10042,0,4,21
29,0,0,2,0,85646,2901,1,29677,19779,0,3,13
37,0,3,1,0,88369,2314,1,15420,25908,1,8,8
42,1,2,1,1,98524,3865,2,40699,6922,1,3,21
39,0,2,0,1,70039,4326,1,13903,28021,0,7,10
64,0,0,1,1,57852,2135,1,32716,23651,0,4,28
30,1,0,1,0,149849,3228,1,19474,13892,0,2,11
31,1,0,1,2,63776,4364,0,39999,22988,0,1,21
37,1,0,2,2,88716,1906,2,15362,25102,1,5,22
29,0,3,0,0,39267,1685,1,10183,8596,1,9,11
34,1,0,2,0,113371,1919,2,10238,21308,0,5,7
46,0,2,1,0,90226,2119,0,23618,307,0,9,10
25,0,3,0,0,148061,801,0,23530,9201,0,4,14
35,1,1,0,1,54774,2846,1,36621,14943,1,0,21
40,0,0,1,1,54760,4938,2,11022,24869,1,1,20
25,0,2,2,1,69468,3513,1,45778,26679,0,2,22
42,0,2,2,1,89534,4938,0,3885,1064,1,1,21
60,1,2,0,0,62818,4980,0,43774,8821,0,1,28
58,0,3,0,2,29425,4664,2,35314,25518,0,6,13
38,1,3,1,0,54775,4685,1,22522,7332,0,8,27
35,1,0,0,0,83296,1272,2,34828,11556,1,5,23
18,0,2,1,1,50677,1300,1,28365,19780,0,5,18
35,1,2,2,2,107003,4017,0,28130,8775,0,4,21
33,0,3,0,0,103794,1477,1,48402,7112,0,8,6
46,0,0,0,0,67788,599,1,46958,21196,1,6,13
26,0,0,2,0,105075,3603,0,44240,26950,0,5,15
59,1,2,1,0,25072,4788,0,32282,11801,1,2,9
20,0,0,1,1,46160,3318,2,32799,495,0,2,24
49,1,0,1,1,131369,559,2,48616,18566,0,4,27
37,0,1,0,0,71393,3610,2,46160,10333,0,4,16
35,0,0,0,0,89872,2939,0,19701,7977,0,3,29
42,1,0,2,0,146349,2360,1,43486,14642,0,7,8
38,1,2,0,0,127561,3387,0,14018,23540,0,1,15
29,0,2,0,0,118201,841,1,30610,7572,0,7,22
25,1,3,1,0,50318,2933,1,2121,12071,1,1,8
34,0,3,0,0,80613,3563,1,26415,6183,0,7,13
30,0,0,0,0,56699,4881,2,35855,8243,0,6,14
32,0,3,0,1,20449,1049,2,35243,6393,0,9,20
25,1,3,0,0,63567,3340,1,2129,5332,0,5,5
46,0,1,1,1,65523,1859,2,47043,25091,0,6,7
28,1,3,0,1,133621,3977,2,5833,9974,0,4,14
48,0,2,1,0,145748,3977,2,31929,12889,0,3,6
33,0,3,1,0,129593,2241,0,2773,2838,0,9,18
29,1,0,2,0,58222,1816,0,26023,9712,0,8,7
36,1,1,2,1,64881,3625,0,25828,13637,0,1,8
41,1,3,0,1,92157,938,2,2404,898,0,7,27
26,0,0,0,0,132101,4059,2,32622,22453,0,3,20
37,1,3,2,1,77264,4768,0,48318,24922,0,6,21
41,0,2,0,0,87751,3804,1,19833,24218,0,3,14
42,1,0,2,0,35717,1561,2,3049,9363,0,5,9
31,1,0,2,1,32464,2008,1,518,20790,0,0,6
35,0,2,0,0,141939,4176,0,34840,508,0,8,18
31,1,2,0,0,106797,3348,2,14916,22431,1,5,26
26,0,3,1,0,148643,2098,0,45799,9611,0,1,15
27,1,0,2,0,97805,652,0,10619,18579,0,6,17
35,0,3,0,0,138045,2332,2,43573,20398,0,4,24
27,1,1,0,1,91137,1129,0,32740,3223,0,9,20
25,0,2,2,1,101601,2231,0,27213,29319,0,5,27
43,0,2,0,0,55772,4560,2,29776,29505,1,4,5
38,1,1,0,0,82016,1097,1,45566,17026,1,9,29
41,1,1,0,0,61283,2974,1,22413,13628,0,2,6
43,1,0,0,2,77588,1594,1,24744,18856,0,5,16
43,0,1,1,0,51301,4972,1,24433,1365,0,0,22
45,0,0,2,0,145207,2425,1,14177,25629,0,6,26
68,1,0,0,0,57837,4502,1,26288,14622,0,7,5
43,1,3,1,0,120031,3961,0,36660,22404,0,5,16
25,0,1,0,0,69754,4179,0,45049,23363,1,7,29
49,0,2,2,0,121101,1413,2,29720,2623,0,0,26
35,0,3,2,1,140922,1717,0,24431,2505,0,2,9
25,1,1,2,1,96554,2901,0,9157,15681,0,7,10
47,0,0,0,0,147293,1403,1,44533,26355,0,9,12
24,1,0,1,0,25863,2269,0,22402,10337,1,2,23
32,1,2,0,0,77935,4219,0,41635,2875,0,3,13
31,1,3,0,1,54295,3694,2,20782,16860,0,3,7
39,0,3,0,0,118928,3113,2,22205,6957,0,9,20
40,1,0,0,0,62511,2384,2,5289,21276,0,3,21
46,1,0,2,2,63111,2260,2,41733,21631,0,8,13
44,1,1,1,0,50059,1569,1,43355,2320,1,7,15
32,1,1,0,0,50199,4390,1,11655,27712,0,7,16
59,1,2,1,0,29428,3324,1,33359,5061,0,7,18
53,1,2,1,1,66630,4349,0,39500,10734,1,0,6
37,1,1,0,1,135828,1715,1,3661,9223,0,1,12
28,0,1,2,1,51550,1040,1,17674,25911,0,1,27
43,0,2,0,0,112301,3401,1,20698,23629,0,8,27
48,1,3,0,0,51665,1844,0,9013,19446,0,9,10
30,1,1,1,2,125219,3345,1,1608,10103,0,6,21
40,1,1,1,0,94003,2267,2,27912,7622,1,9,13
48,1,0,2,0,92664,1024,2,20810,3085,0,0,13
48,0,3,0,0,83766,3404,1,31827,12009,0,1,27
47,1,0,0,0,45314,3231,0,41666,24052,0,7,24
31,0,2,0,0,52983,3727,1,32222,24777,0,4,9
62,1,2,2,0,47579,1521,0,36697,29941,0,5,12
27,1,3,2,0,120380,3816,0,47657,11877,0,1,6
45,0,3,0,0,80090,519,1,34182,21825,0,4,23
42,1,0,1,0,88275,1731,2,38230,3748,0,7,19
41,1,0,0,1,91627,1840,1,16356,20910,0,2,10
52,1,0,1,0,24897,2451,1,29467,8707,0,6,20
37,1,0,0,0,47807,3837,0,4318,15496,0,8,28
53,0,3,0,0,31505,4317,2,42829,6954,0,4,26
35,0,3,0,0,131068,3568,2,9813,10079,0,8,18
42,0,1,0,0,86231,4410,2,9712,11608,0,8,9
36,1,2,0,1,23962,1000,0,33167,20825,0,7,24
57,1,2,0,0,67300,1617,1,6600,15499,0,4,17
62,0,1,1,0,50237,4475,2,14408,3556,0,7,17
49,0,0,0,0,148838,4368,2,2321,16305,0,4,26
42,1,3,0,0,100461,2055,0,45248,14854,0,5,11
39,1,1,1,0,32648,2468,2,12447,28996,0,7,12
25,0,2,0,0,73318,977,0,36340,23114,0,8,28
37,1,3,1,0,50936,1971,2,39200,26564,0,7,19
66,1,3,0,1,69598,4150,1,34716,27261,0,7,18
27,1,2,2,1,133635,4156,2,34188,22431,1,5,28
40,0,2,2,1,59375,3042,2,49912,27545,0,9,19
41,0,1,0,0,56659,2059,0,49797,3908,0,0,6
31,1,0,1,0,101764,1357,2,44759,20634,0,4,19
40,1,0,0,0,40715,3013,1,11333,1143,1,3,5
30,1,0,0,1,93544,2332,2,33881,4350,0,5,14
64,1,1,1,1,56659,4737,0,22619,8029,0,1,12
31,0,3,2,0,73663,4137,0,35932,26645,0,1,10
56,0,2,0,2,37679,4793,1,6475,2528,0,8,9
36,0,1,0,0,50047,4847,1,18256,5268,1,1,28
33,0,3,0,0,103744,2049,0,13939,823,0,3,19
46,1,0,1,0,49957,3772,2,27102,18130,0,8,12
33,0,2,2,0,70335,2236,1,7195,14278,1,5,29
35,1,1,0,1,71551,3858,2,45985,12994,1,7,8
59,1,3,1,0,33286,3404,2,28555,15080,0,9,26
27,0,3,1,2,46840,4044,1,43621,22665,0,5,18
39,1,0,1,1,116955,3893,2,40704,24556,0,8,29
40,1,1,0,1,66352,4803,2,6369,29115,0,1,26
32,0,0,0,0,86165,4260,1,36287,24174,1,7,12
37,0,2,0,1,132287,834,0,33642,7209,0,1,16
33,0,2,0,1,71638,1031,0,15361,26889,0,5,23
38,0,3,2,1,135592,2582,0,29862,20433,0,9,9
39,1,2,1,0,61823,842,2,27265,25306,0,2,23
37,0,1,0,0,69738,4756,1,35785,1525,0,0,5
35,0,1,1,0,57880,2083,2,6762,21587,0,7,28
48,1,2,1,1,96762,4089,2,26304,26843,0,8,19
26,1,2,0,0,106682,4558,1,28677,1839,0,0,7
47,0,2,1,1,93850,4714,2,6430,24720,1,1,10
33,1,1,0,1,85283,736,1,3891,17966,0,5,25
34,1,1,0,0,92686,911,0,11262,11801,0,2,17
69,0,0,0,1,58035,1928,1,2983,28624,1,6,28
35,1,3,2,0,126671,1918,1,17472,20761,1,7,24
48,0,0,1,0,75915,4064,0,41958,21249,0,3,24
47,0,3,0,0,87553,4943,1,29345,26509,0,4,20
27,1,0,1,0,38668,2365,1,17058,19873,0,7,29
43,0,1,0,0,83985,4942,2,7664,6656,0,8,5
25,1,0,0,0,85389,2483,1,5864,21570,0,8,20
48,0,0,0,0,128755,1232,2,9127,83,1,2,27
46,1,3,2,1,32785,3594,0,48563,23348,0,1,18
38,0,3,1,2,103392,787,0,20091,26941,0,3,25
58,0,0,2,1,33681,1846,1,23080,26928,0,1,26
22,1,3,0,0,46615,4056,0,7374,18068,0,7,18
36,1,2,0,1,97080,2207,1,7376,3072,0,3,18
44,1,2,2,0,67130,4739,0,34882,23200,0,4,11
67,0,1,0,1,68832,4534,0,29816,17218,0,9,16
41,0,0,0,0,127183,2679,2,47784,22228,1,7,10
44,1,3,2,0,93046,2989,2,4811,26367,1,5,20
25,0,0,1,1,60695,3743,0,1053,29860,1,4,20
42,0,2,0,0,25661,2198,0,11978,9454,0,4,22
18,0,3,1,2,31049,4348,2,8258,22218,0,0,17
53,1,3,0,0,25777,3198,0,43690,27465,0,4,6
36,1,1,1,0,119057,4601,1,2406,11234,1,2,7
40,0,0,2,0,138315,1197,2,23614,5651,0,8,11
22,1,3,1,1,61491,729,2,37376,11648,0,9,28
42,1,0,0,0,98377,4047,0,48816,23597,0,4,25
42,0,1,0,0,54803,776,1,43764,16006,0,0,20
68,0,3,2,0,39468,3831,2,42632,11650,0,2,25
37,1,0,1,0,116407,2090,2,37066,5119,0,3,15
25,1,3,0,0,108721,4182,2,31829,22240,0,9,5
32,0,3,2,0,57478,3496,0,38969,23418,0,8,24
25,0,0,0,0,127781,1317,0,48756,21962,1,2,18
44,1,3,1,0,95337,4424,0,22095,11407,0,1,15
31,1,3,1,0,64593,4206,0,27188,17753,0,5,17
43,1,3,1,1,110673,4422,0,12618,1222,0,7,22
49,0,3,2,0,87411,4004,1,42381,1392,1,9,23
