Age,Marital_Status,Dependents,Education,Annual_Income,Total_Existing_Loan_Amount,Credit_Score,Outstanding_Debt,Residential_Status,Loan_Approval_Status
36,married,1,high school,61410,5019,475,16937,rent,0
25,single,2,graduate,37979,47153,440,7678,rent,0
32,single,0,graduate,136706,2100,721,997,own,0
23,single,1,high school,43332,35830,398,27813,rent,0
59,married,3,graduate,63314,36400,342,25674,other,0
35,divorced,0,high school,137955,30053,734,4107,rent,1
66,married,2,high school,51222,25771,440,2849,own,1
35,married,3,graduate,60565,12168,745,9521,own,1
68,married,2,postgraduate,64584,17296,554,28858,other,0
30,married,0,graduate,36440,672,461,27216,own,0
48,single,0,graduate,101200,10311,786,16307,rent,1
27,single,2,high school,57752,1830,715,22695,own,0
30,married,0,graduate,100814,46635,720,12786,own,0
26,married,3,postgraduate,106351,46686,762,20418,own,0
50,single,3,postgraduate,35323,21650,572,28767,own,1
33,married,0,high school,61427,47060,569,12497,rent,0
49,single,1,high school,94491,4693,739,5617,own,1
33,single,1,postgraduate,137815,48380,791,10900,own,1
45,single,2,postgraduate,98424,6612,700,28709,rent,1
25,single,3,postgraduate,126974,436,808,7037,own,1
42,married,2,high school,115813,15016,835,29279,rent,1
41,married,0,graduate,122024,26735,780,14350,own,0
33,married,3,high school,50850,12972,555,11561,own,1
30,divorced,2,graduate,90036,520,772,25737,own,1
42,married,1,high school,111979,46628,761,7447,other,1
31,divorced,3,graduate,63263,7817,502,20390,own,0
41,single,3,high school,71974,30660,843,2822,own,1
43,single,2,high school,63774,40933,595,13116,rent,1
23,single,3,high school,34831,103,556,28649,own,0
35,married,2,high school,68641,24655,800,1123,other,0
26,married,1,postgraduate,58453,15398,760,5486,own,0
49,married,0,graduate,144508,42460,787,1546,other,1
27,married,3,high school,122800,15993,820,15219,other,1
32,married,0,graduate,85163,14033,774,16914,own,1
33,single,2,graduate,105542,34765,837,14222,own,1
34,married,3,postgraduate,65320,1533,760,11448,rent,1
45,married,2,graduate,138556,28473,726,10845,own,1
46,single,0,postgraduate,104709,22637,785,16999,own,1
62,single,0,high school,47014,2800,301,18034,own,0
36,single,3,graduate,93025,14055,841,684,own,1
34,single,2,high school,75135,34856,767,586,own,1
45,married,2,graduate,57086,38022,720,23817,rent,0
47,single,0,graduate,68787,22922,476,1856,rent,0
38,married,0,graduate,113970,23882,752,13430,own,1
30,single,1,graduate,84867,5139,843,15634,own,1
44,married,3,high school,39218,34136,535,4201,own,0
26,single,1,high school,144086,34382,782,22836,own,1
32,married,1,high school,51312,4279,306,20091,rent,0
49,married,3,high school,78213,31238,707,5212,rent,1
47,married,1,high school,135699,40493,785,20525,own,1
46,single,3,graduate,147765,31657,782,21790,other,1
39,married,2,high school,56923,47433,747,22154,rent,1
28,married,3,graduate,110507,31255,817,15717,own,1
60,single,1,graduate,35894,34274,500,2027,own,0
31,married,1,postgraduate,140078,17459,704,20409,own,1
39,married,1,postgraduate,79460,21615,768,27646,own,0
44,married,3,graduate,112370,16792,826,9182,own,1
43,divorced,0,graduate,117974,17521,772,9083,own,0
38,married,1,postgraduate,50689,23732,800,769,own,1
34,single,2,graduate,80943,4963,736,16649,own,1
48,single,2,graduate,125788,43474,799,17507,rent,1
30,married,2,high school,102705,33917,738,4709,own,1
26,single,3,postgraduate,117481,22458,759,14403,own,1
31,married,0,graduate,143256,33195,829,21590,own,1
48,single,3,graduate,76537,28917,762,21635,own,0
45,single,2,high school,144065,34839,789,15850,rent,1
52,single,1,high school,54157,30084,541,19967,own,0
32,married,3,graduate,100970,17516,719,17743,rent,1
42,married,0,postgraduate,110982,803,823,5625,own,1
39,single,2,high school,125086,11541,836,12500,own,1
60,married,3,postgraduate,50150,48885,571,6024,other,0
39,single,0,high school,25986,9380,507,27972,own,1
47,married,1,graduate,82393,32464,831,23196,rent,0
34,married,2,graduate,68259,5727,812,12445,own,1
42,married,3,graduate,24373,24276,531,29827,own,0
45,married,3,graduate,59997,47983,803,13060,rent,1
41,married,1,postgraduate,55260,36115,841,10298,own,1
42,single,0,graduate,123670,48833,727,3510,rent,1
48,divorced,0,graduate,136482,10493,767,23115,own,1
18,married,2,postgraduate,64246,14192,308,24090,own,0
19,married,0,high school,29750,42859,430,14940,rent,0
29,divorced,0,postgraduate,119597,4854,753,4069,other,1
34,single,2,postgraduate,136534,43757,769,22134,rent,1
36,married,2,graduate,58480,42982,764,27581,other,1
30,married,3,graduate,23885,38626,303,1076,own,0
65,single,1,high school,26732,43051,571,23512,rent,0
46,single,0,graduate,56075,3907,395,11089,own,0
20,single,1,postgraduate,55390,29123,530,19688,own,0
28,single,2,graduate,121118,34966,774,27650,own,1
40,divorced,1,high school,127683,10229,833,9962,rent,1
34,single,1,graduate,88183,23971,745,23485,rent,1
31,married,3,graduate,34034,42010,490,27489,own,0
45,married,3,postgraduate,121084,30758,787,9234,rent,1
43,married,1,high school,147787,10522,708,2585,rent,1
29,married,0,high school,100891,12593,765,13093,own,1
43,single,0,postgraduate,115437,40422,750,27377,own,1
35,married,0,graduate,115211,45299,797,6348,own,1
41,single,3,postgraduate,124657,8911,782,21675,own,1
31,married,3,graduate,80776,37355,765,24260,own,1
28,married,1,high school,119745,4051,757,11888,rent,1
39,single,1,graduate,119916,5699,758,23462,rent,1
48,divorced,0,postgraduate,101629,2779,807,27929,rent,1
53,single,1,graduate,50362,48803,387,11865,own,0
40,married,0,graduate,51467,32192,829,5771,rent,0
47,married,1,postgraduate,73543,44170,703,8282,rent,1
36,divorced,2,graduate,60597,13664,408,3612,other,0
26,single,0,postgraduate,101998,19664,715,6566,rent,0
28,married,0,high school,49839,20613,461,750,other,0
43,married,0,graduate,77896,6477,754,7457,rent,1
47,single,2,postgraduate,85861,14530,709,455,other,1
38,single,1,graduate,97998,29903,720,18679,own,0
36,married,2,high school,101076,19132,712,4447,own,1
43,single,2,high school,81932,1392,813,20956,own,1
34,single,2,graduate,132170,39240,836,12186,rent,1
57,married,3,graduate,53850,20043,522,20537,own,1
48,married,2,graduate,126222,6874,821,26093,rent,1
66,married,2,high school,28232,42933,413,16370,rent,0
47,single,3,high school,82403,43598,713,28026,own,1
25,married,0,postgraduate,50634,39586,591,7056,own,0
33,married,0,high school,114550,40711,773,27669,rent,0
48,single,1,graduate,64992,40265,765,18177,rent,1
38,married,3,high school,105075,31391,748,22513,rent,1
39,single,1,graduate,147521,16966,833,2652,own,1
65,single,3,high school,64614,11188,345,27321,own,0
46,married,2,postgraduate,117790,49518,846,2349,other,1
32,married,2,graduate,72244,11123,770,29058,own,1
27,single,2,graduate,70066,45994,788,17161,own,0
26,married,1,postgraduate,124014,39550,750,28666,own,1
18,married,0,high school,67858,14727,391,12061,own,0
49,single,3,graduate,30642,17247,373,8152,own,0
25,married,3,postgraduate,43155,43290,569,14939,own,0
47,married,1,postgraduate,123304,43441,839,23800,own,0
30,married,1,graduate,84825,37360,728,3513,own,1
60,single,0,high school,51231,49542,479,12490,own,0
27,married,0,postgraduate,115371,46923,721,4542,own,1
63,married,0,graduate,60846,25569,493,4823,own,0
39,single,0,high school,68568,38614,330,6457,own,0
54,single,3,high school,44252,43386,587,11258,rent,0
45,married,1,high school,69126,10534,842,3969,own,1
44,single,0,high school,130748,28999,765,1327,own,1
46,married,2,postgraduate,39096,12193,475,17962,own,0
37,married,3,high school,91013,20124,725,3813,other,1
45,married,0,high school,53348,8318,715,9410,own,1
29,single,1,graduate,118407,37596,797,18235,rent,1
54,single,0,high school,53457,32281,519,27101,other,0
34,divorced,1,postgraduate,91153,16298,759,2759,other,1
37,married,2,postgraduate,92652,13079,782,9086,own,1
34,single,1,high school,146468,27712,792,14532,rent,1
32,single,0,high school,82820,32805,745,3919,rent,1
51,single,3,graduate,30731,6349,422,497,rent,0
26,single,0,graduate,107722,46234,746,21270,own,1
46,married,0,high school,113841,19632,811,18838,own,1
68,married,3,high school,51139,4790,307,25286,own,0
27,single,3,graduate,42867,7096,405,5184,own,0
39,single,3,high school,85429,48405,814,12125,rent,0
44,married,3,graduate,42608,14007,369,5200,own,0
40,married,0,high school,98534,30201,784,20437,own,0
34,single,0,graduate,139333,24232,754,6468,own,0
59,single,3,postgraduate,31928,45844,476,21871,rent,0
43,married,3,postgraduate,32773,47927,372,8634,own,0
69,single,2,postgraduate,43297,20497,344,22324,own,1
44,single,0,high school,42874,9255,450,27737,rent,0
43,single,3,postgraduate,130989,23163,819,10611,own,1
28,married,0,high school,109935,4995,768,5626,own,1
51,divorced,3,high school,58130,7661,308,27821,rent,0
33,married,3,high school,138764,2728,722,19627,rent,1
28,single,2,high school,54487,45090,493,25917,rent,0
20,divorced,0,high school,59629,1914,580,5231,other,0
56,single,3,graduate,43311,25746,316,22090,rent,0
49,single,3,high school,95718,9067,766,16923,rent,1
49,single,3,high school,106610,8835,822,7736,own,1
30,married,0,graduate,86996,15771,721,24561,own,1
25,married,1,high school,95113,24978,708,14558,own,1
36,single,0,postgraduate,149579,39962,747,16601,rent,1
42,single,3,high school,89445,3381,775,9388,own,1
33,divorced,0,high school,133930,2414,820,10042,own,1
29,married,0,graduate,85646,29677,838,19779,own,1
37,married,3,high school,88369,15420,815,25908,own,1
42,single,2,postgraduate,98524,40699,785,6922,rent,1
39,married,2,graduate,70039,13903,793,28021,rent,1
64,married,0,high school,57852,32716,411,23651,rent,0
30,single,0,high school,149849,19474,748,13892,own,1
31,single,0,high school,63776,39999,779,22988,other,1
37,single,0,graduate,88716,15362,783,25102,other,1
29,married,3,postgraduate,39267,10183,435,8596,own,0
34,single,0,high school,113371,10238,720,21308,own,1
46,married,2,high school,90226,23618,788,307,own,1
25,married,3,graduate,148061,23530,828,9201,own,1
35,single,1,graduate,54774,36621,739,14943,rent,1
40,married,0,graduate,54760,11022,719,24869,rent,1
25,married,2,high school,69468,45778,823,26679,rent,1
42,married,2,postgraduate,89534,3885,702,1064,rent,1
60,single,2,graduate,62818,43774,487,8821,own,1
58,married,3,postgraduate,29425,35314,581,25518,other,1
38,single,3,high school,54775,22522,762,7332,own,1
35,single,0,high school,83296,34828,768,11556,own,1
18,married,2,high school,50677,28365,472,19780,rent,1
35,single,2,high school,107003,28130,723,8775,other,1
33,married,3,high school,103794,48402,701,7112,own,1
46,married,0,high school,67788,46958,721,21196,own,0
26,married,0,high school,105075,44240,768,26950,own,1
59,divorced,2,high school,25072,32282,373,11801,own,0
20,married,0,high school,46160,32799,435,495,rent,0
49,single,0,graduate,131369,48616,809,18566,rent,1
37,married,1,postgraduate,71393,46160,794,10333,own,1
35,married,0,postgraduate,89872,19701,807,7977,own,1
42,single,0,postgraduate,146349,43486,724,14642,own,1
38,single,2,graduate,127561,14018,779,23540,own,1
29,married,2,postgraduate,118201,30610,798,7572,own,1
25,single,3,graduate,50318,2121,368,12071,own,0
34,married,3,postgraduate,80613,26415,834,6183,own,0
30,married,0,graduate,56699,35855,790,8243,own,1
32,married,3,high school,20449,35243,319,6393,rent,0
25,single,3,postgraduate,63567,2129,391,5332,own,0
46,married,1,high school,65523,47043,751,25091,rent,1
28,single,3,graduate,133621,5833,733,9974,rent,1
48,married,2,graduate,145748,31929,701,12889,own,1
33,married,3,postgraduate,129593,2773,709,2838,own,0
29,single,0,high school,58222,26023,831,9712,own,1
36,single,1,high school,64881,25828,327,13637,rent,1
41,single,3,graduate,92157,2404,788,898,rent,1
26,married,0,high school,132101,32622,806,22453,own,1
37,divorced,3,graduate,77264,48318,802,24922,rent,1
41,married,2,postgraduate,87751,19833,704,24218,own,1
42,single,0,graduate,35717,3049,336,9363,own,0
31,single,0,high school,32464,518,591,20790,rent,0
35,married,2,postgraduate,141939,34840,837,508,own,1
31,single,2,high school,106797,14916,793,22431,own,0
26,married,3,postgraduate,148643,45799,799,9611,own,1
27,divorced,0,postgraduate,97805,10619,769,18579,own,1
35,married,3,high school,138045,43573,847,20398,own,1
27,divorced,1,graduate,91137,32740,805,3223,rent,1
25,married,2,high school,101601,27213,749,29319,rent,1
43,married,2,graduate,55772,29776,787,29505,own,1
38,single,1,high school,82016,45566,773,17026,own,1
41,single,1,high school,61283,22413,717,13628,own,1
43,single,0,postgraduate,77588,24744,817,18856,other,1
43,married,1,postgraduate,51301,24433,712,1365,own,1
45,married,0,high school,145207,14177,768,25629,own,1
68,single,0,high school,57837,26288,510,14622,own,0
43,divorced,3,graduate,120031,36660,742,22404,own,0
25,married,1,high school,69754,45049,845,23363,own,1
49,married,2,graduate,121101,29720,738,2623,own,1
35,married,3,graduate,140922,24431,775,2505,rent,1
25,single,1,graduate,96554,9157,756,15681,rent,0
47,married,0,graduate,147293,44533,741,26355,own,0
24,single,0,high school,25863,22402,515,10337,own,0
32,single,2,graduate,77935,41635,712,2875,own,1
31,single,3,high school,54295,20782,748,16860,rent,1
39,married,3,high school,118928,22205,722,6957,own,0
40,single,0,graduate,62511,5289,814,21276,own,1
46,divorced,0,high school,63111,41733,730,21631,other,1
44,single,1,high school,50059,43355,406,2320,own,0
32,single,1,postgraduate,50199,11655,835,27712,own,1
59,single,2,high school,29428,33359,414,5061,own,0
53,single,2,graduate,66630,39500,496,10734,rent,1
37,single,1,graduate,135828,3661,776,9223,rent,1
28,married,1,high school,51550,17674,744,25911,rent,1
43,married,2,graduate,112301,20698,753,23629,own,1
48,single,3,graduate,51665,9013,839,19446,own,1
30,single,1,high school,125219,1608,805,10103,other,1
40,single,1,graduate,94003,27912,836,7622,own,1
48,divorced,0,postgraduate,92664,20810,781,3085,own,1
48,married,3,graduate,83766,31827,831,12009,own,1
47,divorced,0,high school,45314,41666,593,24052,own,0
31,married,2,high school,52983,32222,744,24777,own,1
62,single,2,high school,47579,36697,528,29941,own,0
27,divorced,3,postgraduate,120380,47657,829,11877,own,1
45,married,3,graduate,80090,34182,809,21825,own,1
42,divorced,0,graduate,88275,38230,841,3748,own,1
41,divorced,0,graduate,91627,16356,816,20910,rent,1
52,single,0,high school,24897,29467,498,8707,own,0
37,single,0,high school,47807,4318,381,15496,own,0
53,married,3,graduate,31505,42829,460,6954,own,0
35,married,3,postgraduate,131068,9813,796,10079,own,1
42,married,1,graduate,86231,9712,818,11608,own,1
36,single,2,graduate,23962,33167,565,20825,rent,1
57,single,2,graduate,67300,6600,596,15499,own,0
62,married,1,graduate,50237,14408,354,3556,own,0
49,married,0,graduate,148838,2321,741,16305,own,1
42,single,3,high school,100461,45248,729,14854,own,0
39,single,1,graduate,32648,12447,367,28996,own,0
25,married,2,graduate,73318,36340,818,23114,own,1
37,single,3,high school,50936,39200,558,26564,own,1
66,single,3,postgraduate,69598,34716,437,27261,rent,0
27,single,2,graduate,133635,34188,790,22431,rent,1
40,married,2,high school,59375,49912,546,27545,rent,0
41,married,1,graduate,56659,49797,463,3908,own,1
31,single,0,graduate,101764,44759,762,20634,own,0
40,single,0,graduate,40715,11333,448,1143,own,0
30,single,0,graduate,93544,33881,720,4350,rent,1
64,single,1,graduate,56659,22619,510,8029,rent,0
31,married,3,high school,73663,35932,733,26645,own,1
56,married,2,high school,37679,6475,396,2528,other,0
36,married,1,high school,50047,18256,724,5268,own,1
33,married,3,graduate,103744,13939,727,823,own,1
46,divorced,0,graduate,49957,27102,480,18130,own,0
33,married,2,high school,70335,7195,796,14278,own,1
35,single,1,graduate,71551,45985,700,12994,rent,1
59,single,3,high school,33286,28555,462,15080,own,0
27,married,3,postgraduate,46840,43621,503,22665,other,1
39,single,0,graduate,116955,40704,747,24556,rent,1
40,single,1,high school,66352,6369,807,29115,rent,1
32,married,0,high school,86165,36287,795,24174,own,1
37,married,2,high school,132287,33642,761,7209,rent,1
33,married,2,graduate,71638,15361,798,26889,rent,1
38,married,3,postgraduate,135592,29862,794,20433,rent,1
39,single,2,high school,61823,27265,475,25306,own,0
37,married,1,high school,69738,35785,436,1525,own,0
35,married,1,graduate,57880,6762,496,21587,own,1
48,divorced,2,high school,96762,26304,816,26843,rent,1
26,single,2,graduate,106682,28677,831,1839,own,0
47,married,2,high school,93850,6430,750,24720,rent,1
33,single,1,high school,85283,3891,703,17966,rent,1
34,single,1,graduate,92686,11262,808,11801,own,1
69,married,0,high school,58035,2983,308,28624,rent,0
35,single,3,graduate,126671,17472,707,20761,own,1
48,married,0,high school,75915,41958,787,21249,own,1
47,married,3,high school,87553,29345,737,26509,own,1
27,divorced,0,high school,38668,17058,358,19873,own,0
43,married,1,graduate,83985,7664,822,6656,own,0
25,single,0,high school,85389,5864,826,21570,own,1
48,married,0,graduate,128755,9127,828,83,own,1
46,single,3,graduate,32785,48563,521,23348,rent,0
38,married,3,graduate,103392,20091,709,26941,other,1
58,married,0,high school,33681,23080,535,26928,rent,1
22,single,3,high school,46615,7374,343,18068,own,0
36,single,2,graduate,97080,7376,746,3072,rent,1
44,single,2,postgraduate,67130,34882,717,23200,own,1
67,married,1,high school,68832,29816,473,17218,rent,0
41,married,0,high school,127183,47784,785,22228,own,1
44,single,3,high school,93046,4811,755,26367,own,1
25,married,0,graduate,60695,1053,494,29860,rent,0
42,married,2,high school,25661,11978,548,9454,own,1
18,married,3,postgraduate,31049,8258,503,22218,other,0
53,divorced,3,graduate,25777,43690,383,27465,own,0
36,single,1,postgraduate,119057,2406,778,11234,own,1
40,married,0,graduate,138315,23614,708,5651,own,0
22,single,3,high school,61491,37376,433,11648,rent,0
42,single,0,high school,98377,48816,782,23597,own,1
42,married,1,high school,54803,43764,718,16006,own,0
68,married,3,high school,39468,42632,504,11650,own,0
37,single,0,high school,116407,37066,716,5119,own,1
25,single,3,high school,108721,31829,702,22240,own,1
32,married,3,graduate,57478,38969,792,23418,own,0
25,married,0,graduate,127781,48756,821,21962,own,1
44,single,3,graduate,95337,22095,753,11407,own,0
31,single,3,high school,64593,27188,848,17753,own,1
43,divorced,3,graduate,110673,12618,842,1222,rent,1
49,married,3,graduate,87411,42381,847,1392,own,1
46,single,2,high school,51788,44188,497,26503,other,1
27,married,3,postgraduate,52478,3771,790,17928,rent,1
46,single,0,high school,61495,5932,423,9658,other,0
42,married,1,postgraduate,134664,15773,809,8343,rent,1
45,married,3,postgraduate,50605,32654,735,2017,own,1
35,single,3,postgraduate,20415,13339,455,16947,own,0
48,married,3,high school,56925,41564,731,2518,own,1
23,single,2,high school,30145,5353,573,889,rent,0
44,single,3,postgraduate,75994,11346,765,27816,rent,1
31,single,1,graduate,25029,21737,339,4382,rent,0
31,married,0,graduate,110814,38726,718,13173,rent,1
28,single,2,graduate,58009,45669,473,12850,own,0
45,divorced,3,graduate,138344,20394,834,24742,own,1
22,married,2,high school,25412,1021,439,15042,other,0
37,married,2,graduate,52631,11855,724,22540,own,1
37,divorced,3,graduate,146340,38801,785,27927,own,1
44,divorced,3,high school,58267,19598,507,14086,own,0
25,single,0,high school,69568,27372,707,28142,own,0
26,married,1,graduate,129880,3250,752,26443,own,1
42,single,3,high school,73330,44013,797,14854,own,1
28,single,3,graduate,129823,39545,741,15473,own,0
38,single,1,graduate,54118,40680,781,24258,own,0
29,divorced,2,high school,58758,31320,817,12595,own,1
43,married,2,graduate,34915,45480,334,4887,rent,0
40,married,3,graduate,136454,21949,747,15594,own,1
44,single,3,graduate,127821,35505,817,15401,own,0
52,married,0,high school,28216,21968,397,11383,rent,0
37,single,1,graduate,27612,39759,368,26270,own,0
38,single,3,postgraduate,113869,8319,837,1324,own,0
29,married,2,high school,115625,2209,742,10180,rent,1
36,married,2,graduate,62616,7996,747,17192,own,1
37,married,2,graduate,130634,23512,733,17012,own,1
40,single,3,high school,63021,30445,784,23418,own,1
40,married,3,graduate,146200,35160,849,25963,own,1
43,married,1,postgraduate,89748,49944,718,5548,rent,1
46,single,1,high school,107662,43919,737,11372,own,0
21,single,2,graduate,62190,13780,425,7105,own,0
30,married,3,high school,52251,13108,397,16715,own,0
42,single,1,graduate,134507,33248,759,24968,own,1
37,divorced,2,postgraduate,135230,40156,749,4991,own,1
36,married,3,postgraduate,87709,5361,755,25703,rent,1
36,married,2,high school,67327,32886,465,16264,rent,0
41,single,1,postgraduate,127341,39126,794,21237,other,1
34,divorced,2,graduate,109905,14995,798,1345,own,1
24,married,1,graduate,33158,1155,378,3118,rent,0
38,single,2,graduate,39095,6254,401,1842,own,0
63,married,1,graduate,28116,47489,523,5778,own,1
56,single,3,graduate,27050,39989,547,21738,own,0
45,married,0,high school,147799,39395,779,18734,own,1
25,single,0,postgraduate,106438,3207,842,25026,own,1
31,married,3,postgraduate,22894,23463,585,16677,own,1
20,married,1,high school,30042,23103,411,23656,other,0
33,single,3,graduate,87916,13916,711,5612,rent,1
35,married,2,postgraduate,136723,36543,846,3180,rent,1
47,divorced,0,high school,103559,38249,710,25595,rent,1
47,married,3,postgraduate,63112,33089,561,9119,rent,0
64,single,2,graduate,64942,4791,536,22758,own,0
47,divorced,3,high school,64199,530,807,4019,rent,1
29,married,1,postgraduate,87390,10922,821,3720,rent,1
43,divorced,2,graduate,98072,19520,707,13861,own,1
43,married,3,high school,53750,48294,365,10977,other,0
21,single,1,high school,30429,38641,421,17258,rent,0
69,married,2,graduate,59328,47483,473,9553,rent,0
37,married,3,high school,72911,2118,838,4500,own,1
30,married,2,postgraduate,75847,26735,719,20034,own,1
46,married,3,postgraduate,108868,16292,788,12277,rent,1
31,divorced,2,high school,121665,35257,764,3457,rent,1
33,single,3,postgraduate,64806,42239,432,11585,other,0
25,married,0,high school,20190,42121,469,9074,rent,1
42,single,1,high school,32639,8356,429,28553,rent,1
41,single,3,high school,44654,33007,306,19903,rent,0
33,divorced,3,high school,94938,48638,810,2388,own,0
58,married,0,postgraduate,62942,12114,527,14578,other,1
68,single,2,graduate,37516,8794,494,20178,rent,0
68,married,3,graduate,28804,46579,324,6169,own,0
45,single,0,graduate,94225,31940,732,13534,own,0
35,single,2,postgraduate,89565,8150,762,8622,other,1
40,single,1,graduate,135023,28021,799,24408,own,1
58,single,2,graduate,64821,42219,590,24034,own,1
39,married,1,graduate,127135,46692,777,15296,own,1
35,married,0,graduate,59015,28454,733,5382,rent,1
